year,company,cik,form_type,date_filed,url,document_url
2021,GARMIN LTD,1121788,10-K,2021-02-17,https://www.sec.gov/Archives/edgar/data/1121788/0001564590-21-006192.txt,https://www.sec.gov/Archives/edgar/data/1121788/000156459021006192/grmn-10k_20201226.htm
2021,GARTNER INC,749251,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/749251/0000749251-21-000010.txt,https://www.sec.gov/Archives/edgar/data/749251/000074925121000010/it-20201231.htm
2021,GENERAC HOLDINGS INC.,1474735,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/1474735/0001437749-21-003793.txt,https://www.sec.gov/Archives/edgar/data/1474735/000143774921003793/gnrc20201231_10k.htm
2021,GENERAL DYNAMICS CORP,40533,10-K,2021-02-09,https://www.sec.gov/Archives/edgar/data/40533/0000040533-21-000010.txt,https://www.sec.gov/Archives/edgar/data/40533/000004053321000010/gd-20201231.htm
2021,GENERAL ELECTRIC CO,40545,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/40545/0000040545-21-000011.txt,https://www.sec.gov/Archives/edgar/data/40545/000004054521000011/ge-20201231.htm
2021,GENUINE PARTS CO,40987,10-K,2021-02-19,https://www.sec.gov/Archives/edgar/data/40987/0000040987-21-000009.txt,https://www.sec.gov/Archives/edgar/data/40987/000004098721000009/gpc-20201231.htm
2021,GILEAD SCIENCES INC,882095,10-K,2021-02-25,https://www.sec.gov/Archives/edgar/data/882095/0000882095-21-000008.txt,https://www.sec.gov/Archives/edgar/data/882095/000088209521000008/gild-20201231.htm
2021,General Motors Co,1467858,10-K,2021-02-10,https://www.sec.gov/Archives/edgar/data/1467858/0001467858-21-000037.txt,https://www.sec.gov/Archives/edgar/data/1467858/000146785821000037/gm-20201231.htm
2021,HALLIBURTON CO,45012,10-K,2021-02-05,https://www.sec.gov/Archives/edgar/data/45012/0000045012-21-000009.txt,https://www.sec.gov/Archives/edgar/data/45012/000004501221000009/hal-20201231.htm
2021,"HARLEY-DAVIDSON, INC.",793952,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/793952/0000793952-21-000010.txt,https://www.sec.gov/Archives/edgar/data/793952/000079395221000010/hog-20201231.htm
2021,"HASBRO, INC.",46080,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/46080/0000046080-21-000035.txt,https://www.sec.gov/Archives/edgar/data/46080/000004608021000035/has-20201227.htm
2021,"HCA Healthcare, Inc.",860730,10-K,2021-02-19,https://www.sec.gov/Archives/edgar/data/860730/0001193125-21-048994.txt,https://www.sec.gov/Archives/edgar/data/860730/000119312521048994/d37951d10k.htm
2021,"HEALTHPEAK PROPERTIES, INC.",765880,10-K,2021-02-10,https://www.sec.gov/Archives/edgar/data/765880/0001628280-21-001804.txt,https://www.sec.gov/Archives/edgar/data/765880/000162828021001804/peak-20201231.htm
2021,HENRY SCHEIN INC,1000228,10-K,2021-02-17,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-21-000019.txt,https://www.sec.gov/Archives/edgar/data/1000228/000100022821000019/hsicform10k20201226.htm
2021,HERSHEY CO,47111,10-K,2021-02-17,https://www.sec.gov/Archives/edgar/data/47111/0000047111-21-000007.txt,https://www.sec.gov/Archives/edgar/data/47111/000004711121000007/hsy-20201231.htm
2021,HESS CORP,4447,10-K,2021-03-01,https://www.sec.gov/Archives/edgar/data/4447/0001628280-21-003531.txt,https://www.sec.gov/Archives/edgar/data/4447/000162828021003531/hes-20201231.htm
2021,"HOME DEPOT, INC.",354950,10-K,2021-03-24,https://www.sec.gov/Archives/edgar/data/354950/0000354950-21-000089.txt,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/hd-20210131.htm
2021,HONEYWELL INTERNATIONAL INC,773840,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/773840/0000773840-21-000015.txt,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/hon-20201231.htm
2021,"HOST HOTELS & RESORTS, INC.",1070750,10-K,2021-02-25,https://www.sec.gov/Archives/edgar/data/1070750/0001564590-21-008676.txt,https://www.sec.gov/Archives/edgar/data/1070750/000156459021008676/hst-10k_20201231.htm
2021,HUBBELL INC,48898,10-K,2021-02-11,https://www.sec.gov/Archives/edgar/data/48898/0001628280-21-001868.txt,https://www.sec.gov/Archives/edgar/data/48898/000162828021001868/hubb-20201231.htm
2021,HUMANA INC,49071,10-K,2021-02-18,https://www.sec.gov/Archives/edgar/data/49071/0000049071-21-000039.txt,https://www.sec.gov/Archives/edgar/data/49071/000004907121000039/hum-20201231.htm
2021,HUNT J B TRANSPORT SERVICES INC,728535,10-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/728535/0001437749-21-003667.txt,https://www.sec.gov/Archives/edgar/data/728535/000143774921003667/jbht20201231_10k.htm
2021,"HUNTINGTON INGALLS INDUSTRIES, INC.",1501585,10-K,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/0001501585-21-000008.txt,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm
2021,Hanesbrands Inc.,1359841,10-K,2021-02-12,https://www.sec.gov/Archives/edgar/data/1359841/0001359841-21-000085.txt,https://www.sec.gov/Archives/edgar/data/1359841/000135984121000085/hbi-20210102.htm
2021,Hilton Worldwide Holdings Inc.,1585689,10-K,2021-02-17,https://www.sec.gov/Archives/edgar/data/1585689/0001585689-21-000016.txt,https://www.sec.gov/Archives/edgar/data/1585689/000158568921000016/hlt-20201231.htm
2021,HollyFrontier Corp,48039,10-K,2021-02-24,https://www.sec.gov/Archives/edgar/data/48039/0000048039-21-000012.txt,https://www.sec.gov/Archives/edgar/data/48039/000004803921000012/hfc-20201231.htm
2021,Howmet Aerospace Inc.,4281,10-K,2021-02-16,https://www.sec.gov/Archives/edgar/data/4281/0000004281-21-000049.txt,https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/arnc-20201231.htm
