year,company,cik,form_type,date_filed,url,document_url
2024,ALL FOR ONE MEDIA CORP.,1286459,10-K,2024-01-16,https://www.sec.gov/Archives/edgar/data/1286459/0001477932-24-000212.txt,https://www.sec.gov/Archives/edgar/data/1286459/000147793224000212/afom_10k.htm
2024,ALL FOR ONE MEDIA CORP. NT,1286459,10-K,2024-01-02,https://www.sec.gov/Archives/edgar/data/1286459/0001477932-24-000009.txt,https://www.sec.gov/Archives/edgar/data/1286459/000147793224000212/afom_10k.htm
2024,ALLETE INC,66756,10-K,2024-02-20,https://www.sec.gov/Archives/edgar/data/66756/0000066756-24-000007.txt,https://www.sec.gov/Archives/edgar/data/66756/000006675624000007/ale-20231231.htm
2024,ALLIANCE RESOURCE PARTNERS LP,1086600,10-K,2024-02-23,https://www.sec.gov/Archives/edgar/data/1086600/0001558370-24-001616.txt,https://www.sec.gov/Archives/edgar/data/1086600/000155837024001616/arlp-20231231x10k.htm
2024,ALLIANCEBERNSTEIN HOLDING L.P.,825313,10-K,2024-02-09,https://www.sec.gov/Archives/edgar/data/825313/0000825313-24-000020.txt,https://www.sec.gov/Archives/edgar/data/825313/000082531324000020/ab-20231231.htm
2024,ALLIANCEBERNSTEIN L.P.,1109448,10-K,2024-02-09,https://www.sec.gov/Archives/edgar/data/1109448/0001109448-24-000017.txt,https://www.sec.gov/Archives/edgar/data/1109448/000110944824000017/ablp-20231231.htm
2024,ALLIANT ENERGY CORP,352541,10-K,2024-02-16,https://www.sec.gov/Archives/edgar/data/352541/0000352541-24-000014.txt,https://www.sec.gov/Archives/edgar/data/352541/000035254124000014/lnt-20231231.htm
2024,ALLIENT INC,46129,10-K,2024-03-05,https://www.sec.gov/Archives/edgar/data/46129/0001558370-24-002487.txt,https://www.sec.gov/Archives/edgar/data/46129/000155837024002487/alnt-20231231x10k.htm
2024,ALLSTATE CORP,899051,10-K,2024-02-21,https://www.sec.gov/Archives/edgar/data/899051/0000899051-24-000013.txt,https://www.sec.gov/Archives/edgar/data/899051/000089905124000013/all-20231231.htm
2024,"ALLURION TECHNOLOGIES, INC.",1964979,10-K,2024-03-26,https://www.sec.gov/Archives/edgar/data/1964979/0000950170-24-036478.txt,https://www.sec.gov/Archives/edgar/data/1964979/000095017024036478/alur-20231231.htm
2024,ALLY AUTO RECEIVABLES TRUST 2022-2,1946472,10-K,2024-03-22,https://www.sec.gov/Archives/edgar/data/1946472/0001946472-24-000017.txt,https://www.sec.gov/Archives/edgar/data/1946472/000194647224000017/aart2022-212_31x2310xk.htm
2024,ALLY AUTO RECEIVABLES TRUST 2022-3,1954336,10-K,2024-03-22,https://www.sec.gov/Archives/edgar/data/1954336/0001954336-24-000017.txt,https://www.sec.gov/Archives/edgar/data/1954336/000195433624000017/aart2022-312_31x2310xk.htm
2024,ALLY AUTO RECEIVABLES TRUST 2023-1,1980826,10-K,2024-03-22,https://www.sec.gov/Archives/edgar/data/1980826/0001980826-24-000019.txt,https://www.sec.gov/Archives/edgar/data/1980826/000198082624000019/aart2023-112_31x2310xk.htm
2024,"ALNYLAM PHARMACEUTICALS, INC.",1178670,10-K,2024-02-15,https://www.sec.gov/Archives/edgar/data/1178670/0001178670-24-000008.txt,https://www.sec.gov/Archives/edgar/data/1178670/000117867024000008/alny-20231231.htm
2024,ALPHA PRO TECH LTD,884269,10-K,2024-03-13,https://www.sec.gov/Archives/edgar/data/884269/0001437749-24-007539.txt,https://www.sec.gov/Archives/edgar/data/884269/000143774924007539/apt20231231_10k.htm
2024,"ALPINE IMMUNE SCIENCES, INC.",1626199,10-K,2024-03-20,https://www.sec.gov/Archives/edgar/data/1626199/0001626199-24-000048.txt,https://www.sec.gov/Archives/edgar/data/1626199/000162619924000048/alpn-20231231.htm
2024,ALTA EQUIPMENT GROUP INC.,1759824,10-K,2024-03-14,https://www.sec.gov/Archives/edgar/data/1759824/0000950170-24-031600.txt,https://www.sec.gov/Archives/edgar/data/1759824/000095017024031600/altg-20231231.htm
2024,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,1462418,10-K,2024-03-07,https://www.sec.gov/Archives/edgar/data/1462418/0001462418-24-000010.txt,https://www.sec.gov/Archives/edgar/data/1462418/000146241824000010/asps-20231231.htm
2024,"ALTRIA GROUP, INC.",764180,10-K,2024-02-27,https://www.sec.gov/Archives/edgar/data/764180/0000764180-24-000018.txt,https://www.sec.gov/Archives/edgar/data/764180/000076418024000018/mo-20231231.htm
2024,ALX ONCOLOGY HOLDINGS INC,1810182,10-K,2024-03-07,https://www.sec.gov/Archives/edgar/data/1810182/0000950170-24-027955.txt,https://www.sec.gov/Archives/edgar/data/1810182/000095017024027955/alxo-20231231.htm
