year,company,cik,Item_1_ESG_Exposure,Item_1_ESG_Sentiment,Item_1A_ESG_Exposure,Item_1A_ESG_Sentiment,Item_7_ESG_Exposure,Item_7_ESG_Sentiment,Item_8_ESG_Exposure,Item_8_ESG_Sentiment,Overall_ESG_Exposure,Overall_ESG_Sentiment
2022,"CHARTER COMMUNICATIONS, INC. /MO/",1091667,0.016826923076923076,0.32830481231212616,0.022222222222222223,0.6432633697986603,0.0035211267605633804,0.17784763872623444,0.0,0.0,0.01064256801492717,0.2873539552092552
2022,COCA COLA CO,21344,0.11583011583011583,0.2862400878841678,0.16338028169014085,0.7421457903652355,0.029985007496251874,-0.12447421476244927,0.0064516129032258064,0.012580866260187966,0.0789117544799336,0.2291231324367855
2022,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1058290,0.059782608695652176,-0.11914730867878957,0.05825242718446602,0.8590632826089859,0.012345679012345678,0.28167562186717987,0.0,0.0,0.03259517872311597,0.25539789894934406
2022,CSX CORP,277948,0.15789473684210525,-0.08990207836031913,0.2972972972972973,0.8151811505808975,0.08285714285714285,0.37085316599956875,0.0,0.0,0.13451229424913635,0.27403305955503676
2022,CUMMINS INC,26172,0.2735294117647059,-0.1343845104177793,0.18253968253968253,0.5103341213063054,0.04271844660194175,-0.26047063347968186,0.03039832285115304,-0.08841649597061091,0.1322964659393708,0.0067656203595583275
2022,CVS HEALTH Corp,64803,0.017094017094017096,0.09561973344534636,0.0272,0.7383555806077579,0.0014492753623188406,0.7173612117767334,0.0007993605115907274,0.46024954319000244,0.011635663241981665,0.50289651725496
2022,DANAHER CORP /DE/,313616,0.08832807570977919,0.07002176790099059,0.051351351351351354,0.7377649028050272,0.03278688524590164,-0.10130776418372989,0.03878787878787879,0.35678707202896476,0.052813547773727744,0.26581649463781315
2022,DENTSPLY SIRONA Inc.,818479,0.013761467889908258,0.3523701032002767,0.0670995670995671,0.725237080406758,0.009868421052631578,0.5951438248157501,0.0012642225031605564,0.1606687605381012,0.022998419636316873,0.4583549422402215
2022,"DIGITAL REALTY TRUST, INC.",1297996,0.31347962382445144,0.09596946058794856,0.11976047904191617,0.705993236694485,0.013368983957219251,0.07851989902555942,0.004920049200492005,0.26680739410221577,0.11288228400601971,0.2868224976025522
2022,"DOLLAR TREE, INC.",935703,0.03711790393013101,0.14469700306653976,0.0,0.0,0.03162055335968379,-0.23030192870646715,0.010638297872340425,0.18102967143058776,0.019844188790538807,0.023856186447665094
