Company;;ISIN;SIC Industry Name;SIC Industry Code;Update Date;ESG Score;;;;;;;;;;;;
Albemarle Corporation;ALB;NULL;NULL;NULL;31/12/2018;70,41385193;;;;;;;;;;;;
Alexandria Real Estate Equities, Inc.;ARE;US0152711091;Real Estate Investment Trusts;6798;31/12/2023;74,14998688;;;;;;;;;;;;
Alexandria Real Estate Equities, Inc.;ARE;NULL;NULL;NULL;31/12/2022;79,97145272;;;;;;;;;;;;
Alexandria Real Estate Equities, Inc.;ARE;NULL;NULL;NULL;31/12/2021;72,5695083;;;;;;;;;;;;
Alexandria Real Estate Equities, Inc.;ARE;NULL;NULL;NULL;31/12/2020;75,38653472;;;;;;;;;;;;
Alexandria Real Estate Equities, Inc.;ARE;NULL;NULL;NULL;31/12/2019;75,54822782;;;;;;;;;;;;
Alexandria Real Estate Equities, Inc.;ARE;NULL;NULL;NULL;31/12/2018;72,48957686;;;;;;;;;;;;
Align Technology, Inc.;ALGN.O;US0162551016;Orthopedic, Prosthetic, and Surgical Appliances and Supplies;3842;31/12/2023;45,99730117;;;;;;;;;;;;
Align Technology, Inc.;ALGN.O;NULL;NULL;NULL;31/12/2022;47,9083305;;;;;;;;;;;;
Align Technology, Inc.;ALGN.O;NULL;NULL;NULL;31/12/2021;47,64261778;;;;;;;;;;;;
Align Technology, Inc.;ALGN.O;NULL;NULL;NULL;31/12/2020;47,89404774;;;;;;;;;;;;
Align Technology, Inc.;ALGN.O;NULL;NULL;NULL;31/12/2019;45,62401123;;;;;;;;;;;;
Align Technology, Inc.;ALGN.O;NULL;NULL;NULL;31/12/2018;30,41474734;;;;;;;;;;;;
Allegion plc;ALLE.K;IE00BFRT3W74;Detective, Guard, and Armored Car Services;7381;31/12/2023;42,78329703;;;;;;;;;;;;
Allegion plc;ALLE.K;NULL;NULL;NULL;31/12/2022;45,67028537;;;;;;;;;;;;
Allegion plc;ALLE.K;NULL;NULL;NULL;31/12/2021;61,71108534;;;;;;;;;;;;
Allegion plc;ALLE.K;NULL;NULL;NULL;31/12/2020;67,9566788;;;;;;;;;;;;
Allegion plc;ALLE.K;NULL;NULL;NULL;31/12/2019;56,65848398;;;;;;;;;;;;
Allegion plc;ALLE.K;NULL;NULL;NULL;31/12/2018;57,35474012;;;;;;;;;;;;
Alliant Energy Corporation;LNT.O;US0188021085;Electric and Other Services Combined;4931;31/12/2023;69,25777207;;;;;;;;;;;;
Alliant Energy Corporation;LNT.O;NULL;NULL;NULL;31/12/2022;71,88731585;;;;;;;;;;;;
Alliant Energy Corporation;LNT.O;NULL;NULL;NULL;31/12/2021;63,96889302;;;;;;;;;;;;
Alliant Energy Corporation;LNT.O;NULL;NULL;NULL;31/12/2020;59,11719182;;;;;;;;;;;;
Alliant Energy Corporation;LNT.O;NULL;NULL;NULL;31/12/2019;58,28822225;;;;;;;;;;;;
Alliant Energy Corporation;LNT.O;NULL;NULL;NULL;31/12/2018;56,90981167;;;;;;;;;;;;
Alphabet Inc. (Class A);GOOGL.O;US02079K3059;NULL;7370;31/12/2023;80,2967623;;;;;;;;;;;;
Alphabet Inc. (Class A);GOOGL.O;NULL;NULL;NULL;31/12/2022;81,53344661;;;;;;;;;;;;
Alphabet Inc. (Class A);GOOGL.O;NULL;NULL;NULL;31/12/2021;79,11582642;;;;;;;;;;;;
Alphabet Inc. (Class A);GOOGL.O;NULL;NULL;NULL;31/12/2020;77,53793015;;;;;;;;;;;;
Alphabet Inc. (Class A);GOOGL.O;NULL;NULL;NULL;31/12/2019;69,86670471;;;;;;;;;;;;
Alphabet Inc. (Class A);GOOGL.O;NULL;NULL;NULL;31/12/2018;66,07629789;;;;;;;;;;;;
Altria Group, Inc.;MO;US02209S1033;Cigarettes;2111;31/12/2023;88,14511634;;;;;;;;;;;;
Altria Group, Inc.;MO;NULL;NULL;NULL;31/12/2022;89,38785038;;;;;;;;;;;;
Altria Group, Inc.;MO;NULL;NULL;NULL;31/12/2021;87,02867631;;;;;;;;;;;;
Altria Group, Inc.;MO;NULL;NULL;NULL;31/12/2020;82,9531594;;;;;;;;;;;;
Altria Group, Inc.;MO;NULL;NULL;NULL;31/12/2019;89,99629546;;;;;;;;;;;;
Altria Group, Inc.;MO;NULL;NULL;NULL;31/12/2018;89,01110904;;;;;;;;;;;;
